# M    R    Rdot     T      Y_He     Y_C    Y_O    Y_Ne    Y_Mg    Y_Si    Y_Ni
# Energy = -2.04219e+50 ergs
1.98855e+31 3.01982e+08 0 8.69456e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 3.05284e+08 0 8.66094e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 3.08657e+08 0 8.62565e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 3.12107e+08 0 8.58854e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 3.1564e+08 0 8.54945e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 3.19261e+08 0 8.5083e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 3.22978e+08 0 8.46501e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 3.26801e+08 0 8.41942e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 3.30738e+08 0 8.37131e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 3.34802e+08 0 8.32031e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 3.39005e+08 0 8.26593e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 3.43362e+08 0 8.2076e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 3.47892e+08 0 8.14469e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 3.52615e+08 0 8.0765e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 3.57557e+08 0 8.00216e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 3.62749e+08 0 7.92053e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 3.6823e+08 0 7.83015e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 3.74048e+08 0 7.72901e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 3.80268e+08 0 7.61444e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 3.86976e+08 0 7.48308e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 3.94293e+08 0 7.33015e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 4.02387e+08 0 7.14738e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 4.11531e+08 0 6.92161e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 4.22185e+08 0 6.63046e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 4.35258e+08 0 6.23126e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 4.53062e+08 0 5.62435e+06 0 0.0416667 0.03125 0 0 0 0
1.98855e+31 4.86867e+08 0 4.46866e+06 0 0.0416667 0.03125 0 0 0 0
